Statistical profiling result from isolate-0x140008000-51285-v8.log, (19383 ticks, 12409 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    202    1.0%          /Users/chris/.nvm/versions/node/v20.19.1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
     17    0.1%    0.1%  JS: *cachedFunction /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/caching.js:42:34
     17    0.1%    0.1%  Builtin: DefineNamedOwnIC
     17    0.1%    0.1%  Builtin: ArrayPrototypePush
     16    0.1%    0.1%  JS: *getTotalSize /Users/chris/Developer/Ghost/node_modules/webpack/lib/stats/DefaultStatsFactoryPlugin.js:1771:22
     16    0.1%    0.1%  Builtin: RegExpPrototypeTest
     15    0.1%    0.1%  JS: *pp.readToken /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5447:26
     15    0.1%    0.1%  JS: *get /Users/chris/Developer/Ghost/node_modules/debug/src/common.js:125:9
     15    0.1%    0.1%  JS: *ReferencedIdentifier /Users/chris/Developer/Ghost/node_modules/@embroider/macros/src/babel/macros-babel-plugin.js:173:29
     15    0.1%    0.1%  Builtin: ToString
     15    0.1%    0.1%  Builtin: StringToLowerCaseIntl
     15    0.1%    0.1%  Builtin: KeyedHasIC_Megamorphic
     14    0.1%    0.1%  RegExp: ^(?:break|case|catch|continue|debugger|default|do|else|finally|for|function|if|return|switch|throw|try|var|while|with|null|true|false|instanceof|typeof|void|delete|new|in|this|const|class|extends|export|import|super)$ {1}
     14    0.1%    0.1%  Builtin: LoadIC_NoFeedback
     14    0.1%    0.1%  Builtin: FindOrderedHashSetEntry
     14    0.1%    0.1%  Builtin: ArrayIndexOfSmiOrObject
     13    0.1%    0.1%  JS: *relative node:path:1286:11
     13    0.1%    0.1%  JS: *pp.readWord /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:6166:25
     13    0.1%    0.1%  JS: *originalPositionFor /Users/chris/Developer/Ghost/node_modules/@jridgewell/trace-mapping/dist/trace-mapping.umd.js:378:33
     13    0.1%    0.1%  JS: *decode /Users/chris/Developer/Ghost/node_modules/@jridgewell/sourcemap-codec/dist/sourcemap-codec.umd.js:346:20
     12    0.1%    0.1%  RegExp: .*\.(css|scss|sass|less)$
     12    0.1%    0.1%  JS: *pp$9.eat /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:704:22
     12    0.1%    0.1%  JS: *isBlockScoped /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/lib/virtual-types-validator.js:110:23
     12    0.1%    0.1%  JS: *<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/helpers/getFromStreamChunks.js:34:3
     12    0.1%    0.1%  Builtin: RegExpPrototypeTestFast
     12    0.1%    0.1%  Builtin: FastNewObject
     12    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
     12    0.1%    0.1%  Builtin: ArrayPrototypeSplice
     12    0.1%    0.1%  Builtin: ArrayMap
     11    0.1%    0.1%  JS: *parseMaybeAssign /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:10739:19
     11    0.1%    0.1%  JS: *newFn /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/visitors.js:205:26
     11    0.1%    0.1%  JS: *loadPluginDescriptors /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/full.js:120:63
     11    0.1%    0.1%  JS: *create /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/context.js:35:9
     11    0.1%    0.1%  JS: *<anonymous> :1:20
     11    0.1%    0.1%  JS: *<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/ReplaceSource.js:245:4
     11    0.1%    0.1%  Builtin: WeakMapGet
     11    0.1%    0.1%  Builtin: SetIteratorPrototypeNext
     11    0.1%    0.1%  Builtin: RegExpPrototypeExec
     11    0.1%    0.1%  Builtin: MapConstructor
     11    0.1%    0.1%  Builtin: JSBuiltinsConstructStub
     11    0.1%    0.1%  Builtin: InterpreterEntryTrampoline
     10    0.1%    0.1%  JS: *word /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/printer.js:160:7
     10    0.1%    0.1%  Builtin: CreateShallowObjectLiteral
     10    0.1%    0.1%  Builtin: CreateObjectWithoutProperties
     10    0.1%    0.1%  Builtin: ArrayIncludesSmiOrObject
      9    0.0%    0.0%  JS: *splitIntoLines /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/helpers/splitIntoLines.js:12:24
      9    0.0%    0.0%  JS: *referencesImport /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/introspection.js:101:26
      9    0.0%    0.0%  JS: *readWord1 /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:6551:12
      9    0.0%    0.0%  JS: *pp.readString /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5931:27
      9    0.0%    0.0%  JS: *pp.getTokenFromCode /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5691:33
      9    0.0%    0.0%  JS: *getCachedValue /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/caching.js:66:25
      9    0.0%    0.0%  JS: *_getKey /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/family.js:248:17
