Statistical profiling result from isolate-0x140008000-51285-v8.log, (19383 ticks, 12409 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    202    1.0%          /Users/chris/.nvm/versions/node/v20.19.1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ^output /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/printer.js:104:10
      1    0.0%    0.0%  JS: ^other /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/parser.js:112:32
      1    0.0%    0.0%  JS: ^optimize /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:659:10
      1    0.0%    0.0%  JS: ^open node:fs:540:14
      1    0.0%    0.0%  JS: ^obj.<computed> /Users/chris/Developer/Ghost/node_modules/async-disk-cache/index.js:42:23
      1    0.0%    0.0%  JS: ^nextToken /Users/chris/Developer/Ghost/node_modules/postcss-custom-properties/node_modules/postcss/lib/tokenize.js:57:21
      1    0.0%    0.0%  JS: ^nextToken /Users/chris/Developer/Ghost/node_modules/broccoli-postcss-single/node_modules/postcss/lib/tokenize.js:57:21
      1    0.0%    0.0%  JS: ^nextToken /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/tokenize.js:57:21
      1    0.0%    0.0%  JS: ^nextLineBreak /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:255:25
      1    0.0%    0.0%  JS: ^needBuild /Users/chris/Developer/Ghost/node_modules/webpack/lib/NormalModule.js:1527:11
      1    0.0%    0.0%  JS: ^module.exports /Users/chris/Developer/Ghost/node_modules/postcss-normalize-whitespace/node_modules/postcss-value-parser/lib/parse.js:11:26
      1    0.0%    0.0%  JS: ^module.exports /Users/chris/Developer/Ghost/node_modules/postcss-normalize-string/node_modules/postcss-value-parser/lib/parse.js:11:26
      1    0.0%    0.0%  JS: ^module.exports /Users/chris/Developer/Ghost/node_modules/postcss-minify-font-values/node_modules/postcss-value-parser/lib/parse.js:11:26
      1    0.0%    0.0%  JS: ^module.exports /Users/chris/Developer/Ghost/node_modules/postcss-convert-values/node_modules/postcss-value-parser/lib/parse.js:11:26
      1    0.0%    0.0%  JS: ^mkTmpDir /Users/chris/Developer/Ghost/node_modules/broccoli/dist/builder.js:378:13
      1    0.0%    0.0%  JS: ^mark /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/source-map.js:51:7
      1    0.0%    0.0%  JS: ^lookaheadCharCodeSince /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5751:25
      1    0.0%    0.0%  JS: ^jobDone /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:2218:19
      1    0.0%    0.0%  JS: ^iterateNormalLoaders /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/loader-runner/lib/LoaderRunner.js:231:30
      1    0.0%    0.0%  JS: ^isReferenced /Users/chris/Developer/Ghost/node_modules/@babel/types/lib/validators/isReferenced.js:7:22
      1    0.0%    0.0%  JS: ^isPureGlobal /Users/chris/Developer/Ghost/node_modules/rollup/dist/shared/node-entry.js:4367:22
      1    0.0%    0.0%  JS: ^isOrHasCallExpression /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/node/index.js:60:31
      1    0.0%    0.0%  JS: ^isIdentifierChar /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:1476:26
      1    0.0%    0.0%  JS: ^isExportAllDeclaration /Users/chris/Developer/Ghost/node_modules/@babel/types/lib/validators/generated/index.js:599:32
      1    0.0%    0.0%  JS: ^isCustomDecl /Users/chris/Developer/Ghost/node_modules/postcss-custom-properties/index.cjs.js:80:22
      1    0.0%    0.0%  JS: ^isAsyncFunction /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:13813:18
      1    0.0%    0.0%  JS: ^internalRequire /Users/chris/Developer/Ghost/node_modules/ember-source/dist/ember-template-compiler.js:30:27
      1    0.0%    0.0%  JS: ^increaseSharedAndStoreOptimizationEntry /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:664:51
      1    0.0%    0.0%  JS: ^getTotalSize /Users/chris/Developer/Ghost/node_modules/webpack/lib/stats/DefaultStatsFactoryPlugin.js:1771:22
      1    0.0%    0.0%  JS: ^getReturnExpressionWhenCalledAtPath /Users/chris/Developer/Ghost/node_modules/rollup/dist/shared/node-entry.js:6593:40
      1    0.0%    0.0%  JS: ^getProvidedExports /Users/chris/Developer/Ghost/node_modules/webpack/lib/ExportsInfo.js:557:20
      1    0.0%    0.0%  JS: ^getOuterBindingIdentifiers /Users/chris/Developer/Ghost/node_modules/@babel/types/lib/retrievers/getOuterBindingIdentifiers.js:9:36
      1    0.0%    0.0%  JS: ^getOrCreate /Users/chris/Developer/Ghost/node_modules/@embroider/shared-internals/src/get-or-create.js:4:21
      1    0.0%    0.0%  JS: ^getModulesSizes /Users/chris/Developer/Ghost/node_modules/webpack/lib/ChunkGraph.js:168:25
      1    0.0%    0.0%  JS: ^getKeys /Users/chris/Developer/Ghost/node_modules/webpack/lib/stats/DefaultStatsFactoryPlugin.js:2307:14
      1    0.0%    0.0%  JS: ^getErrors /Users/chris/Developer/Ghost/node_modules/webpack/lib/Module.js:682:11
      1    0.0%    0.0%  JS: ^getCondition /Users/chris/Developer/Ghost/node_modules/webpack/lib/dependencies/HarmonyImportSideEffectDependency.js:44:14
      1    0.0%    0.0%  JS: ^get parent /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/scope/index.js:349:13
      1    0.0%    0.0%  JS: ^get inputPaths /Users/chris/Developer/Ghost/node_modules/broccoli-svg-optimizer/node_modules/broccoli-plugin/dist/index.js:80:19
      1    0.0%    0.0%  JS: ^get hasYield /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:4965:15
      1    0.0%    0.0%  JS: ^get hasTopLevelAwait /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5311:23
      1    0.0%    0.0%  JS: ^get /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/StackedMap.js:99:5
      1    0.0%    0.0%  JS: ^get /Users/chris/Developer/Ghost/node_modules/fs-merger/dist/index.js:97:16
      1    0.0%    0.0%  JS: ^get /Users/chris/Developer/Ghost/node_modules/ember-source/dist/ember-template-compiler.js:12522:22
      1    0.0%    0.0%  JS: ^get /Users/chris/Developer/Ghost/node_modules/@embroider/shared-internals/src/index.js:25:78
      1    0.0%    0.0%  JS: ^get /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/container.js:747:22
      1    0.0%    0.0%  JS: ^generateTargets /Users/chris/Developer/Ghost/node_modules/@babel/helper-compilation-targets/lib/index.js:130:25
      1    0.0%    0.0%  JS: ^fulfill /Users/chris/Developer/Ghost/node_modules/promise-map-series/node_modules/rsvp/dist/rsvp.js:446:17
      1    0.0%    0.0%  JS: ^fromString node:buffer:477:20
      1    0.0%    0.0%  JS: ^formatLocation /Users/chris/Developer/Ghost/node_modules/webpack/lib/formatLocation.js:30:24
      1    0.0%    0.0%  JS: ^exports.default /Users/chris/Developer/Ghost/node_modules/postcss-merge-longhand/dist/lib/minifyTrbl.js:13:19
      1    0.0%    0.0%  JS: ^exports.default /Users/chris/Developer/Ghost/node_modules/postcss-merge-longhand/dist/lib/canMerge.js:20:19
      1    0.0%    0.0%  JS: ^exports.default /Users/chris/Developer/Ghost/node_modules/postcss-convert-values/dist/lib/convert.js:7:28
      1    0.0%    0.0%  JS: ^expect /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:6908:9
      1    0.0%    0.0%  JS: ^exactSource /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/buffer.js:253:14
      1    0.0%    0.0%  JS: ^evaluateMacroCall /Users/chris/Developer/Ghost/node_modules/@embroider/macros/src/babel/evaluate-json.js:335:22
      1    0.0%    0.0%  JS: ^done /Users/chris/Developer/Ghost/node_modules/webpack/lib/cache/ResolverCachePlugin.js:369:11
      1    0.0%    0.0%  JS: ^done /Users/chris/Developer/Ghost/node_modules/neo-async/async.js:2918:29
      1    0.0%    0.0%  JS: ^disabled /Users/chris/Developer/Ghost/ghost/admin/node_modules/autoprefixer/lib/processor.js:510:38
      1    0.0%    0.0%  JS: ^defaultResolve /Users/chris/Developer/Ghost/node_modules/webpack/lib/NormalModuleFactory.js:774:28
      1    0.0%    0.0%  JS: ^decreaseParallelism /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/AsyncQueue.js:262:21
      1    0.0%    0.0%  JS: ^decode /Users/chris/Developer/Ghost/node_modules/@jridgewell/sourcemap-codec/dist/sourcemap-codec.umd.js:346:20
      1    0.0%    0.0%  JS: ^debug /Users/chris/Developer/Ghost/node_modules/@babel/helper-create-class-features-plugin/node_modules/semver/semver.js:15:20
      1    0.0%    0.0%  JS: ^createPluginDescriptors /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/config-descriptors.js:98:34
      1    0.0%    0.0%  JS: ^checkKeywordEscapes /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:6597:22
      1    0.0%    0.0%  JS: ^checkExport /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:13918:14
      1    0.0%    0.0%  JS: ^checkExponentialAfterUnary /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:10936:29
      1    0.0%    0.0%  JS: ^blockPreWalkExportNamedDeclaration /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:2670:36
      1    0.0%    0.0%  JS: ^apply /Users/chris/Developer/Ghost/node_modules/webpack/lib/dependencies/HarmonyExportExpressionDependency.js:106:7
      1    0.0%    0.0%  JS: ^append node:internal/timers:276:9
      1    0.0%    0.0%  JS: ^any /Users/chris/Developer/Ghost/node_modules/stylehacks/dist/plugin.js:25:12
      1    0.0%    0.0%  JS: ^allAddons /Users/chris/Developer/Ghost/node_modules/ember-cli-version-checker/src/utils/single-implementation.js:39:20
      1    0.0%    0.0%  JS: ^addToSource /Users/chris/Developer/Ghost/node_modules/webpack/lib/InitFragment.js:81:20
      1    0.0%    0.0%  JS: ^addReference /Users/chris/Developer/Ghost/node_modules/rollup/dist/shared/node-entry.js:2594:17
      1    0.0%    0.0%  JS: ^addAll /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/LazySet.js:106:8
      1    0.0%    0.0%  JS: ^_traverse /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/transformation/file/file.js:16:24
      1    0.0%    0.0%  JS: ^_printTrailingComments /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/printer.js:538:25
      1    0.0%    0.0%  JS: ^_next0 :51:16
      1    0.0%    0.0%  JS: ^_next /Users/chris/Developer/Ghost/node_modules/babel-loader/lib/index.js:4:184
      1    0.0%    0.0%  JS: ^_handleResult /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/AsyncQueue.js:358:15
      1    0.0%    0.0%  JS: ^_getPattern /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/family.js:270:21
      1    0.0%    0.0%  JS: ^_getMergedDirectory2 /Users/chris/Developer/Ghost/node_modules/merge-trees/index.js:65:23
      1    0.0%    0.0%  JS: ^_append /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/buffer.js:162:10
      1    0.0%    0.0%  JS: ^Numeric /Users/chris/Developer/Ghost/node_modules/postcss-custom-properties/node_modules/postcss-values-parser/lib/nodes/Numeric.js:59:14
      1    0.0%    0.0%  JS: ^NodeUtils /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:7086:1
      1    0.0%    0.0%  JS: ^Module /Users/chris/Developer/Ghost/node_modules/webpack/lib/Module.js:203:13
      1    0.0%    0.0%  JS: ^Input /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/input.js:32:17
      1    0.0%    0.0%  JS: ^Inflate node:zlib:715:17
      1    0.0%    0.0%  JS: ^HarmonyExportSpecifierDependency /Users/chris/Developer/Ghost/node_modules/webpack/lib/dependencies/HarmonyExportSpecifierDependency.js:26:13
      1    0.0%    0.0%  JS: ^FunctionExpression$1 /Users/chris/Developer/Ghost/node_modules/rollup/dist/shared/node-entry.js:7339:1
      1    0.0%    0.0%  JS: ^Func /Users/chris/Developer/Ghost/node_modules/postcss-custom-properties/node_modules/postcss-values-parser/lib/nodes/Func.js:95:14
      1    0.0%    0.0%  JS: ^ForXStatement /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/scope/index.js:223:16
      1    0.0%    0.0%  JS: ^ExpressionParser /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:10662:1
      1    0.0%    0.0%  JS: ^Duplex node:internal/streams/duplex:65:16
      1    0.0%    0.0%  JS: ^Directive /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/generators/base.js:51:19
      1    0.0%    0.0%  JS: ^CommentsParser /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5044:1
      1    0.0%    0.0%  JS: ^AssignmentPattern /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/generators/expressions.js:223:27
      1    0.0%    0.0%  JS: ^AMDRequireDependency /Users/chris/Developer/Ghost/node_modules/webpack/lib/dependencies/AMDRequireDependency.js:27:13
      1    0.0%    0.0%  JS: ^<anonymous> node:internal/util:425:32
      1    0.0%    0.0%  JS: ^<anonymous> :8:40
      1    0.0%    0.0%  JS: ^<anonymous> :7:30
      1    0.0%    0.0%  JS: ^<anonymous> :53:40
      1    0.0%    0.0%  JS: ^<anonymous> :1:20
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/ReplaceSource.js:245:4
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/loader-runner/lib/LoaderRunner.js:220:64
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/enhanced-resolve/lib/SymlinkPlugin.js:35:31
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/enhanced-resolve/lib/DescriptionFilePlugin.js:85:9
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/enhanced-resolve/lib/DescriptionFilePlugin.js:38:5
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:829:63
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:4181:30
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:2456:21
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptModulesPlugin.js:296:7
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/dependencies/WorkerPlugin.js:533:28
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/dependencies/HarmonyImportDependency.js:313:30
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/dependencies/CommonJsExportsParserPlugin.js:373:22
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/config/defaults.js:655:4
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/cache/ResolverCachePlugin.js:286:7
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/NormalModuleFactory.js:1189:6
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/FlagDependencyExportsPlugin.js:106:7
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:1121:4
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/CompatibilityPlugin.js:95:49
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/CompatibilityPlugin.js:170:44
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/lib/ChunkGraph.js:1633:58
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/rsvp/dist/rsvp.js:523:25
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/postcss-normalize-url/dist/index.js:64:69
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/postcss-minify-selectors/dist/index.js:201:32
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/postcss-merge-longhand/dist/lib/decl/borders.js:622:21
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/postcss-merge-longhand/dist/lib/decl/borders.js:270:60
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/postcss-discard-comments/dist/index.js:67:18
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/postcss-convert-values/dist/index.js:66:69
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/neo-async/async.js:2892:20
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/lodash/lodash.min.js:108:439
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/lodash/fp/_baseConvert.js:537:25
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/graceful-fs/graceful-fs.js:118:50
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/full.js:99:59
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/config-descriptors.js:56:93
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/container.js:192:33
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/ghost/admin/node_modules/ember-auto-import/js/webpack.js:442:16
      1    0.0%    0.0%  JS: ^<anonymous> /Users/chris/Developer/Ghost/ghost/admin/node_modules/autoprefixer/lib/processor.js:344:35
      1    0.0%    0.0%  JS: *walkUnaryExpression /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:3403:21
      1    0.0%    0.0%  JS: *walkTerminatingStatement /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:2291:26
      1    0.0%    0.0%  JS: *walkStatements /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:1961:16
      1    0.0%    0.0%  JS: *walkStatement /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:2084:15
      1    0.0%    0.0%  JS: *walkIfStatement /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:2209:17
      1    0.0%    0.0%  JS: *walkBlockStatement /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:2179:20
      1    0.0%    0.0%  JS: *walkAssignmentExpression /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:3455:26
      1    0.0%    0.0%  JS: *walkArrayExpression /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:3251:21
      1    0.0%    0.0%  JS: *validateNested /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/validation/options.js:90:24
      1    0.0%    0.0%  JS: *updateChildren node:internal/modules/cjs/loader:258:24
      1    0.0%    0.0%  JS: *unknownWord /Users/chris/Developer/Ghost/node_modules/postcss-custom-properties/node_modules/postcss-values-parser/lib/ValuesParser.js:142:14
      1    0.0%    0.0%  JS: *types$1.parenR.updateContext.types$1.braceR.updateContext /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:2485:73
      1    0.0%    0.0%  JS: *types$1._function.updateContext.types$1._class.updateContext /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:2517:76
      1    0.0%    0.0%  JS: *transformDecl /Users/chris/Developer/Ghost/node_modules/postcss-normalize-url/dist/index.js:63:23
      1    0.0%    0.0%  JS: *transform /Users/chris/Developer/Ghost/node_modules/postcss-convert-values/dist/index.js:60:19
      1    0.0%    0.0%  JS: *transform /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/transform.js:24:57
      1    0.0%    0.0%  JS: *toString /Users/chris/Developer/Ghost/node_modules/postcss-minify-selectors/node_modules/postcss-selector-parser/dist/selectors/container.js:319:53
      1    0.0%    0.0%  JS: *toString /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/node.js:186:38
      1    0.0%    0.0%  JS: *sync /Users/chris/Developer/Ghost/node_modules/gensync/index.js:181:19
      1    0.0%    0.0%  JS: *stringify /Users/chris/Developer/Ghost/node_modules/postcss-custom-properties/node_modules/postcss/lib/stringifier.js:31:40
      1    0.0%    0.0%  JS: *stringify /Users/chris/Developer/Ghost/node_modules/postcss-convert-values/node_modules/postcss-value-parser/lib/stringify.js:35:19
      1    0.0%    0.0%  JS: *stringify /Users/chris/Developer/Ghost/node_modules/json-stable-stringify/index.js:62:21
      1    0.0%    0.0%  JS: *stringify /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/stringify.js:10:19
      1    0.0%    0.0%  JS: *streamChunks /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/CachedSource.js:291:14
      1    0.0%    0.0%  JS: *strcmp /Users/chris/Developer/Ghost/node_modules/sourcemap-validator/node_modules/source-map/lib/source-map/util.js:232:18
      1    0.0%    0.0%  JS: *storeOptimizationEntry /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:677:34
      1    0.0%    0.0%  JS: *split /Users/chris/Developer/Ghost/node_modules/postcss-merge-longhand/node_modules/postcss/lib/list.js:16:24
      1    0.0%    0.0%  JS: *spaceLimited /Users/chris/Developer/Ghost/node_modules/webpack/lib/stats/DefaultStatsFactoryPlugin.js:1828:22
      1    0.0%    0.0%  JS: *sourcePath /Users/chris/Developer/Ghost/node_modules/broccoli-postcss-single/node_modules/postcss/lib/map-generator.js:232:42
      1    0.0%    0.0%  JS: *smartGrouping /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/smartGrouping.js:45:23
      1    0.0%    0.0%  JS: *skipLineComment /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5819:18
      1    0.0%    0.0%  JS: *size /Users/chris/Developer/Ghost/node_modules/webpack/lib/NormalModule.js:1585:6
      1    0.0%    0.0%  JS: *setSourceContent /Users/chris/Developer/Ghost/node_modules/@jridgewell/gen-mapping/dist/gen-mapping.umd.js:60:30
      1    0.0%    0.0%  JS: *setResolvedModule /Users/chris/Developer/Ghost/node_modules/webpack/lib/ModuleGraph.js:219:19
      1    0.0%    0.0%  JS: *rule /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/stringifier.js:58:30
      1    0.0%    0.0%  JS: *resolveResource /Users/chris/Developer/Ghost/node_modules/webpack/lib/NormalModuleFactory.js:975:17
      1    0.0%    0.0%  JS: *resolve /Users/chris/Developer/Ghost/node_modules/async-disk-cache/node_modules/rsvp/dist/rsvp.js:428:17
      1    0.0%    0.0%  JS: *require node:internal/modules/helpers:180:31
      1    0.0%    0.0%  JS: *removeAllImports /Users/chris/Developer/Ghost/node_modules/@embroider/macros/node_modules/babel-import-util/src/index.js:30:21
      1    0.0%    0.0%  JS: *registerFunctionStatementId /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:13379:30
      1    0.0%    0.0%  JS: *readToken_eq_excl /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:6142:20
      1    0.0%    0.0%  JS: *readString /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:6502:13
      1    0.0%    0.0%  JS: *readNumber /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:6423:13
      1    0.0%    0.0%  JS: *readFileSync node:fs:442:22
      1    0.0%    0.0%  JS: *readFileAfterOpen node:fs:296:27
      1    0.0%    0.0%  JS: *provide /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/enhanced-resolve/lib/CachedInputFileSystem.js:230:9
      1    0.0%    0.0%  JS: *processString /Users/chris/Developer/Ghost/ghost/admin/node_modules/broccoli-persistent-filter/lib/strategies/persistent.js:30:24
      1    0.0%    0.0%  JS: *processPromiseRejections node:internal/process/promises:436:34
      1    0.0%    0.0%  JS: *processCapturedFiles /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:2335:32
      1    0.0%    0.0%  JS: *processCacheResult /Users/chris/Developer/Ghost/node_modules/webpack/lib/cache/ResolverCachePlugin.js:388:35
      1    0.0%    0.0%  JS: *process /Users/chris/Developer/Ghost/node_modules/async-promise-queue/node_modules/async/dist/async.js:2318:27
      1    0.0%    0.0%  JS: *printStatementAfterKeyword /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/generators/statements.js:140:36
      1    0.0%    0.0%  JS: *printSequence /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/printer.js:580:16
      1    0.0%    0.0%  JS: *pre /Users/chris/Developer/Ghost/node_modules/@babel/helper-create-class-features-plugin/lib/index.js:93:8
      1    0.0%    0.0%  JS: *pp.skipLineComment /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5479:32
      1    0.0%    0.0%  JS: *pp.readWord1 /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:6135:26
      1    0.0%    0.0%  JS: *pp.readToken_eq_excl /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5648:34
      1    0.0%    0.0%  JS: *pp.readToken_dot /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5558:30
      1    0.0%    0.0%  JS: *pp.readRegexp /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5775:27
      1    0.0%    0.0%  JS: *pp.fullCharCodeAtPos /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5456:34
      1    0.0%    0.0%  JS: *pp.eat /Users/chris/Developer/Ghost/node_modules/rollup/node_modules/acorn/dist/acorn.js:626:20
      1    0.0%    0.0%  JS: *pp.checkExpressionErrors /Users/chris/Developer/Ghost/node_modules/rollup/node_modules/acorn/dist/acorn.js:718:38
      1    0.0%    0.0%  JS: *pp$9.next /Users/chris/Developer/Ghost/node_modules/rollup/node_modules/acorn/dist/acorn.js:4347:23
      1    0.0%    0.0%  JS: *pp$9.getTokenFromCode /Users/chris/Developer/Ghost/node_modules/rollup/node_modules/acorn/dist/acorn.js:4635:35
      1    0.0%    0.0%  JS: *pp$9.canInsertSemicolon /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:735:37
      1    0.0%    0.0%  JS: *pp$8.readWord1 /Users/chris/Developer/Ghost/node_modules/ember-fetch/node_modules/rollup/dist/rollup.js:5756:26
      1    0.0%    0.0%  JS: *pp$8.parseSwitchStatement /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:1181:39
      1    0.0%    0.0%  JS: *pp$8.parseFunctionParams /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:1474:38
      1    0.0%    0.0%  JS: *pp$8.parseBlock /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:1331:29
